"EVTYPE";"BGN_DATE";"STATE";"nobs";"qFA";"qIN";"qPR";"qCR"
"427";"flood";2001;"DE";9;0;0;1100000;0
"428";"flood";2001;"FL";138;2;0;32100000;0
"429";"flood";2001;"GA";64;1;0;3989000;50000
"430";"flood";2001;"GM";6;0;0;0;0
"431";"flood";2001;"GU";4;0;0;405000;0
"432";"flood";2001;"HI";54;0;0;30000;0
"433";"flood";2001;"IA";100;0;1;25297500;1855000
"434";"flood";2001;"ID";8;0;0;0;0
"435";"flood";2001;"IL";146;1;0;38428000;0
"436";"flood";2001;"IN";111;2;0;115000;0
"437";"flood";2001;"KS";129;1;0;2285000;350000
"438";"flood";2001;"KY";150;2;5;17576000;5e+05
"439";"flood";2001;"LA";140;0;0;30725000;0
"440";"flood";2001;"LH";1;0;0;0;0
"441";"flood";2001;"MA";13;0;0;1e+07;0
"442";"flood";2001;"MD";28;0;0;460000;0
"443";"flood";2001;"ME";8;0;0;65000;0
"444";"flood";2001;"MI";107;3;0;6094000;2360000
"445";"flood";2001;"MN";97;3;1;244074000;6500
"446";"flood";2001;"MO";187;3;7;1775000;0
"447";"flood";2001;"MS";189;1;0;10615000;0
"448";"flood";2001;"MT";61;0;0;65000;15000
"449";"flood";2001;"NC";83;0;3;4255000;7500000
"450";"flood";2001;"ND";53;0;3;62976500;0
"451";"flood";2001;"NE";30;0;0;291000;1e+05
"452";"flood";2001;"NH";8;0;0;0;0
"453";"flood";2001;"NJ";49;0;0;0;0
"454";"flood";2001;"NM";13;0;0;4230000;0
"455";"flood";2001;"NV";7;0;0;10000;0
"456";"flood";2001;"NY";76;0;1;2229000;0
"457";"flood";2001;"OH";144;3;1;12704000;0
"458";"flood";2001;"OK";94;0;3;4e+05;0
"459";"flood";2001;"OR";6;0;0;5000;0
"460";"flood";2001;"PA";74;1;0;62996000;0
"461";"flood";2001;"PH";1;0;0;0;0
"462";"flood";2001;"PR";69;2;0;205673000;29200000
"463";"flood";2001;"PZ";1;0;0;0;0
"464";"flood";2001;"RI";7;0;0;3005000;0
"465";"flood";2001;"SC";31;2;0;75000;0
"466";"flood";2001;"SD";27;0;0;7565000;0
"467";"flood";2001;"TN";119;1;6;3554000;0
"468";"flood";2001;"TX";538;9;233;22748000;870000
"469";"flood";2001;"UT";28;1;0;148000;36000
"470";"flood";2001;"VA";137;1;0;19484000;0
"471";"flood";2001;"VI";6;0;0;60000;0
"472";"flood";2001;"VT";10;0;0;77000;0
"473";"flood";2001;"WA";5;1;0;1690000;0
"474";"flood";2001;"WI";42;0;0;25865500;0
"475";"flood";2001;"WV";93;3;2;211688000;0
